category,model,dataset,sample_id,severity,patched_span,patched_span_display,patched_token_position,span_relative_position,position_index,clean_answer,degraded_answer,patched_answer,ground_truth,clean_correctness,degraded_correctness,patched_correctness,clean_confidence,degraded_confidence,patched_confidence,accuracy_recovery,confidence_recovery,answer_changed,correctness_improved,confidence_improved,confidence_exceeds_clean,figure_png,figure_pdf,text_file,caption,interpretation,latex_table_row
final_prompt_accuracy_recovery,LLaVA-1.5-7B,coco-qa-vi,2908,extreme,assistant_marker,Template suffix,606,4,97,Cars,Nothing,Airplanes,airplanes,0.0,0.0,1.0,0.3886301517486572,0.3690064251422882,0.5278754234313965,5.0,5.0,True,True,True,True,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_2908_pos606.png,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_2908_pos606.pdf,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_2908_pos606.md,"LLaVA-1.5-7B on COCO-QA-VI, sample 2908: patching the template suffix at token position 606 changes the degraded output from Nothing (0.37) to Airplanes (0.53). The clean output is Cars (0.39). Selection category: final prompt accuracy recovery.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, both answer correctness and expressed confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & COCO-QA-VI & 2908 & Template suffix & 606 & Cars & 0.39 & 0.00 & Nothing & 0.37 & 0.00 & Airplanes & 0.53 & 1.00 & 5.00 & 5.00 \\
final_prompt_accuracy_recovery,LLaVA-1.5-7B,vqa-v2,507975003,extreme,assistant_marker,Template suffix,608,4,99,Red,No hat,Black,black (10),0.0,0.0,1.0,0.5290867686271667,0.6341047883033752,0.4945506751537323,5.0,1.3288586119918273,True,True,False,False,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_507975003_pos608.png,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_507975003_pos608.pdf,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_507975003_pos608.md,"LLaVA-1.5-7B on VQA-v2, sample 507975003: patching the template suffix at token position 608 changes the degraded output from No hat (0.63) to Black (0.49). The clean output is Red (0.53). Selection category: final prompt accuracy recovery.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & VQA-v2 & 507975003 & Template suffix & 608 & Red & 0.53 & 0.00 & No hat & 0.63 & 0.00 & Black & 0.49 & 1.00 & 5.00 & 1.33 \\
final_prompt_accuracy_recovery,LLaVA-1.5-7B,vqa-v2,188891002,extreme,assistant_marker,Template suffix,603,4,94,Red,No plane,White,"white (4), white red and orange (2), white and orange (1), white, yellow, orange, and red (1), white red orange yellow (1), orange and gray (1)",0.0,0.0,1.0,0.3730833828449249,0.5251279473304749,0.3244853913784027,5.0,1.3196298298111315,True,True,False,False,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_188891002_pos603.png,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_188891002_pos603.pdf,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_188891002_pos603.md,"LLaVA-1.5-7B on VQA-v2, sample 188891002: patching the template suffix at token position 603 changes the degraded output from No plane (0.53) to White (0.32). The clean output is Red (0.37). Selection category: final prompt accuracy recovery.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & VQA-v2 & 188891002 & Template suffix & 603 & Red & 0.37 & 0.00 & No plane & 0.53 & 0.00 & White & 0.32 & 1.00 & 5.00 & 1.32 \\
final_prompt_accuracy_recovery,LLaVA-1.5-7B,vqa-v2,120771001,extreme,assistant_marker,Template suffix,605,4,96,Boy,No one,Woman,"woman (4), woman on right (1), blonde woman (1), person in very front (1), woman in foreground (1), girl (1), person closest (1)",0.0,0.0,1.0,0.22515718638896942,0.7392638921737671,0.25897884368896484,5.0,0.9342127494904131,True,True,False,True,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_120771001_pos605.png,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_120771001_pos605.pdf,qualitative_viewer/paper_examples/final_prompt_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_120771001_pos605.md,"LLaVA-1.5-7B on VQA-v2, sample 120771001: patching the template suffix at token position 605 changes the degraded output from No one (0.74) to Woman (0.26). The clean output is Boy (0.23). Selection category: final prompt accuracy recovery.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, answer correctness increases without a corresponding confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & VQA-v2 & 120771001 & Template suffix & 605 & Boy & 0.23 & 0.00 & No one & 0.74 & 0.00 & Woman & 0.26 & 1.00 & 5.00 & 0.93 \\
visual_token_accuracy_recovery,LLaVA-1.5-7B,coco-qa-vi,34587,extreme,visual,Visual tokens,325,320,37,Microwave,Stove,Oven,oven,0.0,0.0,1.0,0.7866337895393372,0.27030181884765625,0.3763124346733093,5.0,0.20531483578383178,True,True,True,False,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos325.png,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos325.pdf,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos325.md,"LLaVA-1.5-7B on COCO-QA-VI, sample 34587: patching the visual tokens at token position 325 changes the degraded output from Stove (0.27) to Oven (0.38). The clean output is Microwave (0.79). Selection category: visual token accuracy recovery.","This example shows that patching the selected visual tokens position can alter the degraded model behavior at the sample level. In this case, both answer correctness and expressed confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & COCO-QA-VI & 34587 & Visual tokens & 325 & Microwave & 0.79 & 0.00 & Stove & 0.27 & 0.00 & Oven & 0.38 & 1.00 & 5.00 & 0.21 \\
visual_token_accuracy_recovery,LLaVA-1.5-7B,coco-qa-vi,34587,extreme,visual,Visual tokens,305,300,35,Microwave,Stove,Oven,oven,0.0,0.0,1.0,0.7866337895393372,0.27030181884765625,0.34036633372306824,5.0,0.1356966399438462,True,True,True,False,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos305.png,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos305.pdf,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos305.md,"LLaVA-1.5-7B on COCO-QA-VI, sample 34587: patching the visual tokens at token position 305 changes the degraded output from Stove (0.27) to Oven (0.34). The clean output is Microwave (0.79). Selection category: visual token accuracy recovery.","This example shows that patching the selected visual tokens position can alter the degraded model behavior at the sample level. In this case, both answer correctness and expressed confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & COCO-QA-VI & 34587 & Visual tokens & 305 & Microwave & 0.79 & 0.00 & Stove & 0.27 & 0.00 & Oven & 0.34 & 1.00 & 5.00 & 0.14 \\
visual_token_accuracy_recovery,LLaVA-1.5-7B,coco-qa-vi,34587,extreme,visual,Visual tokens,375,370,42,Microwave,Stove,Oven,oven,0.0,0.0,1.0,0.7866337895393372,0.27030181884765625,0.33368930220603943,5.0,0.1227649762725698,True,True,True,False,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos375.png,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos375.pdf,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_coco-qa-vi_34587_pos375.md,"LLaVA-1.5-7B on COCO-QA-VI, sample 34587: patching the visual tokens at token position 375 changes the degraded output from Stove (0.27) to Oven (0.33). The clean output is Microwave (0.79). Selection category: visual token accuracy recovery.","This example shows that patching the selected visual tokens position can alter the degraded model behavior at the sample level. In this case, both answer correctness and expressed confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & COCO-QA-VI & 34587 & Visual tokens & 375 & Microwave & 0.79 & 0.00 & Stove & 0.27 & 0.00 & Oven & 0.33 & 1.00 & 5.00 & 0.12 \\
visual_token_accuracy_recovery,LLaVA-1.5-7B,vqa-v2,66072000,extreme,visual,Visual tokens,125,120,17,Black,White,Blue,blue (10),0.0,0.0,1.0,0.6639969348907471,0.18256503343582153,0.1855490803718567,5.0,0.006198274075802597,True,True,True,False,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_66072000_pos125.png,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_66072000_pos125.pdf,qualitative_viewer/paper_examples/visual_token_accuracy_recovery_LLaVA-1.5-7B_vqa-v2_66072000_pos125.md,"LLaVA-1.5-7B on VQA-v2, sample 66072000: patching the visual tokens at token position 125 changes the degraded output from White (0.18) to Blue (0.19). The clean output is Black (0.66). Selection category: visual token accuracy recovery.","This example shows that patching the selected visual tokens position can alter the degraded model behavior at the sample level. In this case, both answer correctness and expressed confidence increase. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & VQA-v2 & 66072000 & Visual tokens & 125 & Black & 0.66 & 0.00 & White & 0.18 & 0.00 & Blue & 0.19 & 1.00 & 5.00 & 0.01 \\
confidence_recovers_accuracy_not,LLaVA-1.5-7B,imagenet-r,408,extreme,question,Question,623,42,114,B,A,A,,1.0,0.0,0.0,0.9891487956047058,0.9887584447860718,0.9909895658493042,0.0,5.0,False,False,True,True,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_LLaVA-1.5-7B_imagenet-r_408_pos623.png,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_LLaVA-1.5-7B_imagenet-r_408_pos623.pdf,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_LLaVA-1.5-7B_imagenet-r_408_pos623.md,"LLaVA-1.5-7B on ImageNet-R, sample 408: patching the question at token position 623 changes the degraded output from A (0.99) to A (0.99). The clean output is B (0.99). Selection category: confidence recovers accuracy not.","This example shows that patching the selected question position can alter the degraded model behavior at the sample level. In this case, expressed confidence increases while the correctness score does not improve. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",LLaVA-1.5-7B & ImageNet-R & 408 & Question & 623 & B & 0.99 & 1.00 & A & 0.99 & 0.00 & A & 0.99 & 0.00 & 0.00 & 5.00 \\
confidence_recovers_accuracy_not,Qwen3.5-9B,vqa-v2,143541002,extreme,assistant_marker,Template suffix,245,2,55,1,0,0,"1 (9), 0 (1)",1.0,0.3333333333333333,0.3333333333333333,0.995110809803009,0.9963061809539795,0.9760363698005676,0.0,5.0,False,False,False,False,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_vqa-v2_143541002_pos245.png,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_vqa-v2_143541002_pos245.pdf,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_vqa-v2_143541002_pos245.md,"Qwen3.5-9B on VQA-v2, sample 143541002: patching the template suffix at token position 245 changes the degraded output from 0 (1.00) to 0 (0.98). The clean output is 1 (1.00). Selection category: confidence recovers accuracy not.","This example shows that patching the selected template suffix position can alter the degraded model behavior at the sample level. In this case, the patch changes the output pattern without improving the stored recovery metrics. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",Qwen3.5-9B & VQA-v2 & 143541002 & Template suffix & 245 & 1 & 1.00 & 1.00 & 0 & 1.00 & 0.33 & 0 & 0.98 & 0.33 & 0.00 & 5.00 \\
confidence_recovers_accuracy_not,Qwen3.5-9B,vqa-v2,38479004,extreme,question,Question,270,5,44,1,0,0,1 (10),1.0,0.0,0.0,0.9889549016952515,0.9922687411308289,0.9722535014152527,0.0,5.0,False,False,False,False,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_vqa-v2_38479004_pos270.png,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_vqa-v2_38479004_pos270.pdf,qualitative_viewer/paper_examples/confidence_recovers_accuracy_not_Qwen3.5-9B_vqa-v2_38479004_pos270.md,"Qwen3.5-9B on VQA-v2, sample 38479004: patching the question at token position 270 changes the degraded output from 0 (0.99) to 0 (0.97). The clean output is 1 (0.99). Selection category: confidence recovers accuracy not.","This example shows that patching the selected question position can alter the degraded model behavior at the sample level. In this case, the patch changes the output pattern without improving the stored recovery metrics. The qualitative pattern should be interpreted as evidence about this specific intervention and sample, with aggregate trends assessed by the positional-sweep recovery curves.",Qwen3.5-9B & VQA-v2 & 38479004 & Question & 270 & 1 & 0.99 & 1.00 & 0 & 0.99 & 0.00 & 0 & 0.97 & 0.00 & 0.00 & 5.00 \\
