sample_id,answer_clean,score_clean,conf_clean,answer_degraded,score_degraded,conf_degraded,answer_L25,score_L25,conf_L25,answer_token_count_L25,answer_L31,score_L31,conf_L31,answer_token_count_L31,answer_L25_norm,answer_L31_norm,answer_stable_25_31,delta_conf_31_minus_25,delta_score_31_minus_25,final_correct_ge_0p5,final_fully_correct,high_final_conf_top_quartile,overconfident_hallucination_q75
509223000,Green,0.6666666666666666,0.6849940419197083,Black,0.0,0.3199845254421234,Green,0.6666666666666666,0.5986189842224121,1,Green,0.6666666666666666,0.6849940419197083,1,green,green,True,0.08637505769729614,0.0,True,False,False,False
493612002,2,0.3333333333333333,0.48845040798187256,1,1.0,0.5845144391059875,1,1.0,0.5661335587501526,1,1,1.0,0.5845144391059875,1,1,1,True,0.01838088035583496,0.0,True,True,False,False
185922000,No,1.0,0.8125787377357483,No,1.0,0.5578818321228027,No,1.0,0.8053159117698669,1,No,1.0,0.8125787377357483,1,no,no,True,0.007262825965881348,0.0,True,True,False,False
246782000,No,1.0,0.9816422462463379,No,1.0,0.9689281582832336,No,1.0,0.9816110134124756,1,No,1.0,0.9816422462463379,1,no,no,True,3.123283386230469e-05,0.0,True,True,True,False
554433000,Yes,1.0,0.9805378317832947,No,0.0,0.8497285842895508,Yes,1.0,0.9565640091896057,1,Yes,1.0,0.9805378317832947,1,yes,yes,True,0.023973822593688965,0.0,True,True,True,False
195842002,1,1.0,0.9801433682441711,1,1.0,0.49252697825431824,1,1.0,0.6261010766029358,1,1,1.0,0.49252697825431824,1,1,1,True,-0.13357409834861755,0.0,True,True,False,False
509735009,Yes,1.0,0.580873966217041,Yes,1.0,0.5063043236732483,Yes,1.0,0.5655921697616577,1,Yes,1.0,0.580873966217041,1,yes,yes,True,0.0152817964553833,0.0,True,True,False,False
217594004,Yes,0.3333333333333333,0.8340780138969421,No,1.0,0.7474845051765442,Yes,0.3333333333333333,0.8063992261886597,1,Yes,0.3333333333333333,0.8340780138969421,1,yes,yes,True,0.02767878770828247,0.0,False,False,False,False
478430001,Swim,0.3333333333333333,0.7013294100761414,Swim,0.3333333333333333,0.4710087478160858,Swim,0.3333333333333333,0.7002673745155334,2,Swim,0.3333333333333333,0.7014780044555664,2,swim,swim,True,0.001210629940032959,0.0,False,False,False,False
70067001,Yes,1.0,0.9959084987640381,No,0.0,0.972576916217804,Yes,1.0,0.9890090823173523,1,Yes,1.0,0.9959084987640381,1,yes,yes,True,0.006899416446685791,0.0,True,True,True,False
433014002,Downtown,1.0,0.615340530872345,Downtown,1.0,0.7687662243843079,Downtown,1.0,0.6435062289237976,3,Downtown,1.0,0.6145786046981812,3,downtown,downtown,True,-0.028927624225616455,0.0,True,True,False,False
134649012,Yes,1.0,0.9925988912582397,No,0.0,0.8989015817642212,Yes,1.0,0.9837823510169983,1,Yes,1.0,0.9925988912582397,1,yes,yes,True,0.008816540241241455,0.0,True,True,True,False
552074007,Blue,0.6666666666666666,0.8509217500686646,Black,0.0,0.4697611629962921,Blue,0.6666666666666666,0.8452590107917786,1,Blue,0.6666666666666666,0.8509217500686646,1,blue,blue,True,0.005662739276885986,0.0,True,False,False,False
578493000,No,1.0,0.9523009061813354,No,1.0,0.8987902402877808,No,1.0,0.9493432641029358,1,No,1.0,0.9523009061813354,1,no,no,True,0.002957642078399658,0.0,True,True,True,False
494620000,Leather,0.3333333333333333,0.4687439799308777,No saddle,0.0,0.6686794757843018,Saddle,0.0,0.3866558372974396,2,Leather,0.3333333333333333,0.46830055117607117,2,saddle,leather,False,0.08164471387863159,0.3333333333333333,False,False,False,False
577149000,Road,1.0,0.29008492827415466,Field,0.0,0.15514889359474182,Road,1.0,0.1869642436504364,1,Road,1.0,0.29008492827415466,1,road,road,True,0.10312068462371826,0.0,True,True,False,False
402783000,Yes,0.0,0.6985996961593628,Yes,0.0,0.9329810738563538,Yes,0.0,0.7241946458816528,1,Yes,0.0,0.6985996961593628,1,yes,yes,True,-0.02559494972229004,0.0,False,False,False,False
480509003,Yes,1.0,0.953895628452301,No,0.0,0.9741609692573547,Yes,1.0,0.9045395851135254,1,Yes,1.0,0.953895628452301,1,yes,yes,True,0.049356043338775635,0.0,True,True,True,False
90020007,100,0.0,0.46747931838035583,0,0.0,0.47136390209198,0,0.0,0.35878273844718933,1,0,0.0,0.47136390209198,1,0,0,True,0.11258116364479065,0.0,False,False,False,False
101860002,No,1.0,0.7875734567642212,No,1.0,0.9691576361656189,No,1.0,0.8076838254928589,1,No,1.0,0.7875734567642212,1,no,no,True,-0.020110368728637695,0.0,True,True,False,False
477112000,White,1.0,0.7674250602722168,White,1.0,0.495454877614975,White,1.0,0.7715327739715576,1,White,1.0,0.7674250602722168,1,white,white,True,-0.00410771369934082,0.0,True,True,False,False
499842002,Yes,1.0,0.5114802122116089,No,1.0,0.9758296012878418,No,1.0,0.5270993709564209,1,Yes,1.0,0.5114802122116089,1,no,yes,False,-0.015619158744812012,0.0,True,True,False,False
550350009,No,1.0,0.7628321647644043,No,1.0,0.7483291625976562,No,1.0,0.7599695920944214,1,No,1.0,0.7628321647644043,1,no,no,True,0.00286257266998291,0.0,True,True,False,False
548843003,Donut,0.0,0.6792647242546082,Nothing,0.0,0.20174545049667358,Donut,0.0,0.6108905673027039,2,Donut,0.0,0.5679218173027039,2,donut,donut,True,-0.04296875,0.0,False,False,False,False
520572000,1,1.0,0.8539627194404602,0,0.0,0.9147453308105469,0,0.0,0.777528703212738,1,0,0.0,0.9147453308105469,1,0,0,True,0.13721662759780884,0.0,False,False,False,False
243694011,1,1.0,0.8265475034713745,0,0.0,0.9679719805717468,0,0.0,0.8867849707603455,1,0,0.0,0.9679719805717468,1,0,0,True,0.08118700981140137,0.0,False,False,True,True
79926001,Gray,1.0,0.6838411092758179,Gray,1.0,0.3508959412574768,Gray,1.0,0.6192140579223633,1,Gray,1.0,0.6838411092758179,1,gray,gray,True,0.06462705135345459,0.0,True,True,False,False
461860000,Tennis,1.0,0.9433456659317017,None,0.0,0.4194246232509613,Tennis,1.0,0.9251218438148499,1,Tennis,1.0,0.9433456659317017,1,tennis,tennis,True,0.018223822116851807,0.0,True,True,True,False
54931002,No,1.0,0.7955947518348694,Yes,0.0,0.5999950170516968,No,1.0,0.7955867648124695,1,No,1.0,0.7955947518348694,1,no,no,True,7.987022399902344e-06,0.0,True,True,False,False
