feature_label,linear,mlp
vision_mean_layer_-1,0.2338620525908005,0.0070770978927612305
vision_mean_layer_12,0.23416628946148801,0.0009303871928485107
lm_visual_lasttok_layer_-1,0.33023169083615656,0.003696441650390625
lm_visual_lasttok_layer_16,0.3072236022193532,0.00025731325149536133
lm_visual_mean_layer_-1,0.3072271850375294,0.005985727022186088
lm_visual_mean_layer_16,0.30984643217075303,0.013722636884010838
lm_prompt_lasttok_layer_-1,0.23845676912265254,0.031164489781492465
lm_prompt_lasttok_layer_16,0.24721864159863863,0.015162635345512224
lm_prompt_lasttok_layer_16 + answer_gen_negp_max,,0.01890359360972855
lm_prompt_mean_layer_-1,0.3044351450036594,0.005961298942565918
lm_prompt_mean_layer_16,0.31368916365183314,0.008431307653100394
lm_answer_lasttok_layer_-1,0.235441447484452,0.020538381029817386
lm_answer_lasttok_layer_16,0.2272002370441753,0.018035828375791135
lm_answer_mean_layer_-1,0.2161226990181331,0.01617361163378592
lm_answer_mean_layer_16,0.22810058962293378,0.025106093191491388
lm_answer_mean_layer_16 + lm_prompt_lasttok_layer_16,,0.02038918985727031
lm_answer_mean_layer_16 + lm_prompt_lasttok_layer_16 + answer_gen_negp_max,,0.02691071397164549
answer_gen_entropy_max,0.03935858053306728,0.018115829969509816
answer_gen_entropy_mean,0.03883002439224506,0.020132691601456164
answer_gen_entropy_min,0.025948029096875127,0.014714344720523987
answer_gen_entropy_std,0.05459284937149288,0.01400480125327197
answer_gen_neglogp_mean,0.0358864724151329,0.01756026374727975
answer_gen_neglogp_mean + answer_gen_entropy_mean,0.0353258111826214,
answer_gen_neglogp_std,0.0415368193077301,0.01788533753813066
answer_gen_negp_max,0.009330983165300047,0.009697438506127413
answer_gen_negp_max + lm_answer_lasttok_layer_-1,0.22447082837566235,0.01850420039420795
answer_gen_negp_max + lm_answer_mean_layer_16,,0.02574375487709695
answer_gen_negp_mean,0.02408480214138911,0.014221606261825698
answer_gen_negp_min,0.007605261835266444,0.011292851619052155
answer_gen_negp_std,0.03069997457162342,0.014264423309099453
lm_fullspan_lasttok_layer_-1,0.24053128690134845,0.021963362117148666
lm_fullspan_lasttok_layer_16,0.24348764720650273,0.019805777149465298
lm_fullspan_mean_layer_-1,0.3097071761546121,0.003664731979370117
lm_fullspan_mean_layer_16,0.3088148942573689,0.0004989508484521671
lm_question_including_lasttok_layer_-1,0.24053128690134845,0.021963362117148666
lm_question_including_lasttok_layer_16,0.24348764720650273,0.019805777149465298
lm_question_including_mean_layer_-1,0.2888240206952068,0.01834742365597403
lm_question_including_mean_layer_16,0.2795044318065758,0.01591652727782552
lm_question_lasttok_layer_-1,0.24852731957332502,0.025748216398947792
lm_question_lasttok_layer_16,0.2783718838338781,0.017957934006652836
lm_question_mean_layer_-1,0.2569638465336471,0.017947839803003348
lm_question_mean_layer_16,0.251554503899688,0.02090028564179723
